gene1,gene2,co-expression,BP,CC,MF,label,ppi
ZBTB8OS,USP29,0.1268353561645477,0.07866704374057315,0.4666666666666666,0.3482142857142857,0,Q8IWT0:Q9HBJ7
EIF1,PDCD4,-0.0028687184524304765,0.10674734987234986,0.6000000000000001,0.9605263157894737,0,P41567:Q53EL6
SIGLEC6,EVI2B,0.2612836354286764,0.14903799903799902,1.0,1.0,0,O43699:P34910
TULP3,WDR19,0.846724540471083,0.1581320726057568,0.5736111111111111,1.0,1,O75386:Q8NEZ3
RPS23,RPS24,0.9344761640314183,0.48839285714285713,0.7233766233766233,0.6476190476190476,-1,P62266:P62847
EXOC3L4,PIWIL1,-0.04189526062499737,0.1063034188034188,0.1375,0.5005291005291006,0,Q17RC7:Q96J94
GSK3B,ZNF517,0.5179370270997464,0.25,1.0,0.17500000000000002,0,P49841:Q6ZMY9
MYF5,ZNF835,-0.10567309992500394,1.0,0.2,0.9641339869281047,-1,P13349:Q9Y2P0
RPS28,RPL19,0.9186889134469355,1.0,0.6576719576719576,0.5384615384615384,1,P62857:P84098
PSMD11,UBB,0.2424282934143265,0.12749139910859086,0.8327278521351179,0.9742424242424242,-1,O00231:P0CG47
RPS24,RPL24,0.9581817534911048,0.6277777777777777,0.6696649029982362,0.5892857142857143,-1,P62847:P83731
H3C1,RNF2,0.35022060248839854,0.22622766122766125,0.6379928315412186,0.9554391932211482,-1,P68431:Q99496
UBE2I,TRAF4,0.021651238345343878,0.16988779194661546,0.4690476190476191,0.9633968253968255,1,P63279:Q9BUZ4
DTWD1,POLR3E,0.5665966622207635,0.0625,0.16213017751479292,0.0,0,Q8N5C7:Q9NVU0
TRAV24,TRBC2,0.8952160334743373,0.4112554112554112,0.7083333333333334,0.0,1,A0A0B4J272:A0A5B9
TRIM77,HSPA1B,-0.02724939819647101,0.1578270381579205,0.46185897435897433,0.12660098522167487,0,I1YAP6:P0DMV9
GTPBP6,MRPL58,0.5311704012094676,0.0,0.2697390572390572,0.10555555555555554,-1,O43824:Q14197
RPS28,UTP6,0.7174965704505977,0.5416666666666666,0.5481481481481482,0.9,-1,P62857:Q9NYH9
PITPNA,ACTR5,0.6040685797737919,0.11726699226699226,0.37777777777777777,1.0,0,Q00169:Q9H9F9
RBP4,KRTAP5-2,0.0,0.0,0.3333333333333333,1.0,0,P02753:Q701N4
ZYX,ANKIB1,0.26404889969968176,0.09545454545454546,0.5833333333333334,0.3968253968253968,0,Q15942:Q9P2G1
RPL39,PCSK9,-0.12282693810728108,0.14069264069264067,0.3821789321789321,0.22128159905937683,1,P62891:Q8NBP7
HSPD1,CEP70,-0.0592080731946373,0.13846153846153847,0.9513888888888888,0.997979797979798,1,P10809:Q8NHQ1
